eps11,eps22,eps33,eps12,eps13,eps23,sig11,sig22,sig33,sig12,sig13,sig23,loading_cases
7.59E-05,-3.41E-05,-3.41E-05,-1.8E-20,1.95E-20,-8.01E-14,0.05881015,0.005032935,0.005050588,3.93E-12,-1.41E-12,6.44E-12,1
0.000151776,-6.82E-05,-6.82E-05,-3.44E-21,-1.33E-20,3.15E-13,0.11761306,0.010060608,0.010095499,3.1E-13,2.09E-13,3.55E-12,1
0.000265596,-0.000119372,-0.000119373,2.34E-20,-4.1E-20,9.68E-13,0.20580918,0.017592145,0.017653873,-4.41E-13,6.8E-13,-1.97E-12,1
0.000436329,-0.000196106,-0.000196107,1.48E-19,1.35E-19,-9.73E-13,0.33808023,0.028865702,0.028968412,-3.32E-12,-1.5E-12,4.79E-12,1
0.000692454,-0.000311221,-0.000311215,-1.3E-19,3.36E-19,4.54E-12,0.5364406,0.045728166,0.045888044,1.58E-12,-2.39E-12,7.34E-13,1
0.001076606,-0.000483885,-0.000483883,3.49E-19,-6.24E-19,-2.73E-12,0.8338579,0.07090314,0.071155556,-1.89E-12,3.63E-12,5.59E-12,1
0.00165289,-0.000742871,-0.000742859,-4.1E-19,9.91E-18,7.18E-13,1.2797358,0.10841347,0.10879735,2.38E-12,-2.73E-11,9.54E-11,1
0.00251724,-0.001131339,-0.001131371,6.62E-18,-3.35E-17,8.96E-13,1.9479507,0.16410032,0.16468014,-2.98E-11,6.52E-11,-1.51E-10,1
0.003813826,-0.001714089,-0.001714077,-7.48E-17,-4.19E-17,3.22E-12,2.9490092,0.24633227,0.24720387,1.81E-10,5.88E-11,2.32E-10,1
0.005758807,-0.002588159,-0.002588148,-5.69E-17,-5.61E-16,2.81E-11,4.447795,0.36676595,0.36805758,1.47E-10,4.58E-10,-1.91E-10,1
0.008676225,-0.003899225,-0.003899301,-1.41E-16,-2.17E-15,-6.41E-11,6.6892085,0.5408457,0.5427447,1.91E-10,1.28E-09,4.01E-10,1
0.013051942,-0.005865854,-0.005865918,-1.35E-15,-3.02E-15,5.35E-11,9.792389,0.787292,0.790062,1.09E-09,1.26E-09,-2.96E-09,1
0.019615982,-0.008815977,-0.008816083,2.32E-15,-6.33E-15,-1.46E-10,14.254756,1.1239673,1.1278844,-1.62E-09,1.56E-09,-3.42E-09,1
0.029461848,-0.013240981,-0.013240845,2.6E-14,4.66E-14,-7.65E-11,20.71249,1.5553671,1.5607473,-9.23E-09,-7.89E-09,4.36E-09,1
0.044230375,-0.019878797,-0.019879228,-5.25E-14,4.44E-14,5.11E-11,31.472538,2.038234,2.0452414,1.55E-08,-7.21E-09,-1.35E-08,1
0.0663834,-0.029835232,-0.029835274,1.83E-13,-4.37E-13,-3.02E-10,52.88645,2.398213,2.406456,-4.5E-08,5.92E-08,-1.23E-07,1
0.07588602,-0.034104418,-0.03410534,1.17E-13,-1.53E-13,1.33E-09,64.60884,2.4198446,2.428175,-3.22E-08,2.27E-08,3.54E-07,1
0.07625118,-0.03425869,-0.03425854,-1.25E-17,2.71E-17,1.75E-10,64.73545,2.438261,2.446444,9.73E-13,-1.76E-12,-1.59E-10,1
0.076330565,-0.034288373,-0.03428843,-2.89E-17,-3.05E-15,-3.52E-11,64.85114,2.4474359,2.4558206,5.76E-12,1.95E-10,3.61E-10,1
0.076454856,-0.034333296,-0.034332436,-1.33E-17,4.92E-18,-9.12E-11,65.023,2.4613297,2.4696765,1.07E-12,-3.4E-13,-9.09E-11,1
0.07663958,-0.034400538,-0.034399584,2.08E-17,-9.27E-20,4.33E-11,65.281006,2.4821076,2.4905293,-1.59E-12,2.07E-14,5.49E-10,1
0.076913945,-0.034501873,-0.034499962,9.83E-18,1.41E-16,-8.84E-11,65.667725,2.5132477,2.5217743,-9.87E-13,-8.67E-12,-6.87E-10,1
0.07732949,-0.034652237,-0.034652345,-2.69E-16,-1.6E-16,1.22E-10,66.25022,2.5597823,2.5684898,2.14E-11,9.84E-12,-3.14E-10,1
0.07794539,-0.034878574,-0.034878574,-5.4E-16,2.63E-16,1.69E-11,67.12005,2.6295445,2.638458,4.36E-11,-1.55E-11,8.17E-10,1
0.07887509,-0.035218913,-0.035218198,-1.3E-15,1.88E-18,1.25E-11,68.42889,2.7335482,2.7426517,1.02E-10,3.4E-12,-2.71E-10,1
0.08026707,-0.035727493,-0.03572746,-1.61E-16,-4.35E-16,-8.78E-11,70.38952,2.888325,2.8979974,1.27E-11,3.05E-11,-4.07E-10,1
0.0823598,-0.03649346,-0.03649268,4.5E-15,1.34E-15,-9.91E-11,73.658066,3.1177323,3.1280851,-3.54E-10,-8.24E-11,-9.26E-10,1
0.08549309,-0.037639618,-0.037639868,7.17E-15,1.6E-14,1.9E-10,78.56718,3.4556563,3.4673095,-5.81E-10,-9.04E-10,-4.14E-10,1
0.09019545,-0.03936095,-0.039361443,-8.05E-15,3.22E-14,6.27E-10,85.916046,3.94909,3.9622147,5.56E-10,-1.82E-09,-1.42E-09,1
0.097249076,-0.041941747,-0.04194259,1.07E-13,1.21E-13,-4.93E-11,97.82772,4.6585307,4.673862,-7.98E-09,-6.21E-09,7.3E-09,1
0.107831374,-0.045813322,-0.045816354,-9.33E-14,-6.57E-13,1.61E-09,116.363914,5.653871,5.672334,6.84E-09,3.34E-08,-1.17E-08,1
0.12369697,-0.05162054,-0.051621925,-8.81E-14,1.48E-12,-1.16E-09,145.10191,6.993862,7.016391,5.99E-09,-7.05E-08,-6.5E-09,1
0.14750445,-0.060332306,-0.06033425,-2.03E-12,-2.7E-12,2.05E-09,186.51112,8.662922,8.690247,1.38E-07,1.16E-07,-9.67E-08,1
0.15771195,-0.064071104,-0.06407455,-7.54E-14,-8.89E-13,7.36E-10,202.3343,9.255291,9.283792,4.08E-09,3.8E-08,9.57E-09,1
0.15942633,-0.06470882,-0.0647139,-1.07E-12,-9.36E-13,2.57E-09,202.57329,9.363508,9.392325,3.44E-08,2.36E-08,7.66E-09,1
0.15951437,-0.06473616,-0.06473887,-1.09E-16,-5.44E-16,-2.25E-10,202.71198,9.3763895,9.405249,3.86E-12,1.36E-11,-9.34E-10,1
0.1596442,-0.06477585,-0.06477827,-5.04E-17,-1.63E-16,6.63E-10,202.92017,9.395693,9.424677,1.56E-12,3.89E-12,-9.41E-11,1
0.15984416,-0.06483821,-0.06483986,-9.02E-17,2.25E-16,1.7E-10,203.2315,9.424538,9.453588,2.83E-12,-5.53E-12,-1.7E-09,1
0.1601335,-0.06492619,-0.06492944,-2.53E-16,2.94E-16,4.15E-10,203.70076,9.467892,9.496949,7.96E-12,-7.36E-12,4.05E-10,1
0.16058923,-0.065058455,-0.06506233,7.52E-16,-7.5E-16,-9.45E-11,204.40535,9.532935,9.562296,-2.35E-11,1.79E-11,1.07E-09,1
0.16124876,-0.06526076,-0.0652619,-2.16E-15,-2.32E-15,-5.26E-10,205.46358,9.62985,9.660022,6.85E-11,5.82E-11,-6.43E-11,1
0.1622529,-0.06556088,-0.0655643,-3.6E-15,-3.21E-15,-4.75E-12,207.04626,9.775527,9.805724,1.14E-10,8.13E-11,-7.5E-10,1
0.16375093,-0.06601501,-0.06601619,1.36E-15,8.26E-15,1.24E-10,209.18149,9.992255,10.022942,-4.84E-11,-2.05E-10,-1.23E-09,1
0.1660042,-0.06668995,-0.0666936,3.45E-15,-4.42E-14,-5.99E-10,212.38115,10.31552,10.346634,-1.12E-10,1.05E-09,-8.09E-11,1
0.16937949,-0.067709774,-0.067711666,3.15E-15,5.46E-15,-5.79E-10,217.1817,10.793589,10.826642,-9.78E-11,-1.03E-10,3.16E-09,1
